RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00002618	SAMN02791476	GTEX-113JC-2726-SM-5EGIS
RES00002619	SAMN02790557	GTEX-113JC-2826-SM-5EGIT
RES00002558	SAMN02793266	GTEX-117XS-0005-SM-5PNU6
RES00002577	SAMN02787765	GTEX-117XS-0008-SM-5Q5DQ
RES00002580	SAMN02790560	GTEX-117XS-0426-SM-5GZZN
RES00002567	SAMN02793042	GTEX-117XS-0526-SM-5987Q
RES00002565	SAMN02791775	GTEX-117XS-0726-SM-5H131
RES00002589	SAMN02787968	GTEX-117XS-1926-SM-5GICO
RES00002570	SAMN02792697	GTEX-117XS-2026-SM-5GID1
RES00002588	SAMN02788580	GTEX-117XS-2226-SM-5GIE1
RES00002562	SAMN02790114	GTEX-117XS-2526-SM-5H11G
RES00002560	SAMN02792053	GTEX-117XS-2726-SM-5N9BL
RES00002574	SAMN02787373	GTEX-117XS-2926-SM-5N9BX
RES00002575	SAMN02788650	GTEX-117XS-3026-SM-5N9CA
RES00002576	SAMN02789672	GTEX-117XS-3126-SM-5GIDP
RES00002537	SAMN02792983	GTEX-117YW-0005-SM-5NQ8Z
RES00002620	SAMN02787864	GTEX-117YW-0008-SM-5QGRD
RES00002539	SAMN02790310	GTEX-117YW-0126-SM-5EGGN
RES00002621	SAMN02793750	GTEX-117YW-0226-SM-5N9CM
RES00002622	SAMN02793240	GTEX-117YW-0326-SM-5N9CY
RES00002623	SAMN02789264	GTEX-117YW-0426-SM-5GZZZ
RES00002540	SAMN02787942	GTEX-117YW-0526-SM-5H11C
RES00002547	SAMN02788364	GTEX-117YW-0826-SM-5H11O
RES00002552	SAMN02789543	GTEX-117YW-1426-SM-5EGGO
RES00002553	SAMN02787753	GTEX-117YW-1526-SM-5EGGP
RES00002551	SAMN02790615	GTEX-117YW-1826-SM-5PNY5
RES00002544	SAMN02793030	GTEX-117YW-1926-SM-5H121
RES00002543	SAMN02788153	GTEX-117YW-2026-SM-5N9BH
RES00002546	SAMN02787390	GTEX-117YW-2226-SM-5N9DB
RES00002556	SAMN02792774	GTEX-117YW-2426-SM-5Q5AE
RES00002555	SAMN02788729	GTEX-117YW-2626-SM-5GZZH
RES00002624	SAMN02789132	GTEX-117YW-2726-SM-5GZZT
RES00002625	SAMN02793765	GTEX-117YW-2826-SM-5H116
RES00002538	SAMN02790864	GTEX-117YX-0126-SM-5EGH5
RES00002542	SAMN02789799	GTEX-117YX-0226-SM-5EGH6
RES00002550	SAMN02792207	GTEX-117YX-0326-SM-5GICL
RES00002549	SAMN02789885	GTEX-117YX-0526-SM-5EGJH
RES00002623	SAMN02793152	GTEX-117YX-0626-SM-5EGJI
RES00002547	SAMN02793306	GTEX-117YX-0726-SM-5GIET
RES00002551	SAMN02790818	GTEX-117YX-0826-SM-5H11J
RES00002546	SAMN02787470	GTEX-117YX-1026-SM-5H11V
RES00002622	SAMN02791499	GTEX-117YX-1126-SM-5H128
RES00002539	SAMN02788459	GTEX-117YX-1226-SM-5H11S
RES00002540	SAMN02793228	GTEX-117YX-1326-SM-5H125
RES00002627	SAMN02793410	GTEX-117YX-1426-SM-5H12H
RES00002552	SAMN02793638	GTEX-117YX-1526-SM-5H12T
RES00002628	SAMN02789496	GTEX-117YX-1726-SM-5GZZS
RES00002543	SAMN02790320	GTEX-117YX-1826-SM-5H12K
RES00002548	SAMN02790613	GTEX-117YX-1926-SM-5GIEC
RES00002553	SAMN02792294	GTEX-117YX-2026-SM-5GIEF
RES00002541	SAMN02792962	GTEX-117YX-2126-SM-5GIEL
RES00002554	SAMN02787420	GTEX-117YX-2226-SM-5EGJJ
RES00002555	SAMN02787962	GTEX-117YX-2326-SM-5H12W
RES00002557	SAMN02787712	GTEX-117YX-2426-SM-5GZZJ
RES00002556	SAMN02790920	GTEX-117YX-2526-SM-5EQ4Q
RES00002624	SAMN02791687	GTEX-117YX-2626-SM-5EQ53
RES00002558	SAMN02793468	GTEX-1192W-0005-SM-5NQBQ
RES00002577	SAMN02787849	GTEX-1192W-0008-SM-5QGRE
RES00002567	SAMN02789666	GTEX-1192W-0126-SM-5EGGS
RES00002565	SAMN02790907	GTEX-1192W-0226-SM-5EGGT
RES00002560	SAMN02788182	GTEX-1192W-2626-SM-5Q5AF
RES00002574	SAMN02793539	GTEX-1192W-3026-SM-5GZZV
RES00002537	SAMN02787831	GTEX-1192X-0005-SM-5NQC3
RES00002620	SAMN02792183	GTEX-1192X-0008-SM-5Q5B7
RES00002629	SAMN11826460	GTEX-1192X-0011-R10a-SM-DO941
RES00002631	SAMN11823719	GTEX-1192X-0011-R5a-SM-DNZZA
RES00002632	SAMN11825614	GTEX-1192X-0011-R6a-SM-DNZZB
RES00002633	SAMN11829277	GTEX-1192X-0011-R7b-SM-DNZZC
RES00002634	SAMN11826082	GTEX-1192X-0011-R8b-SM-DO11U
RES00002635	SAMN11825744	GTEX-1192X-0011-R9b-SM-DO934
RES00002555	SAMN02790845	GTEX-1192X-0226-SM-5H12D
RES00002557	SAMN02792497	GTEX-1192X-0326-SM-5H11U
RES00002556	SAMN02789505	GTEX-1192X-0426-SM-5GIEE
RES00002623	SAMN02793188	GTEX-1192X-0726-SM-5987R
RES00002539	SAMN02788735	GTEX-1192X-1126-SM-5EGGU
RES00002547	SAMN02791790	GTEX-1192X-1526-SM-5H11I
RES00002545	SAMN02791914	GTEX-1192X-1826-SM-5GIE2
RES00002627	SAMN02789649	GTEX-1192X-2326-SM-5987X
RES00002550	SAMN02789007	GTEX-1192X-2526-SM-59868
RES00002548	SAMN02793749	GTEX-1192X-2726-SM-5N9DN
RES00002637	SAMN02787729	GTEX-1192X-2926-SM-5N9BA
RES00002625	SAMN02792642	GTEX-1192X-3026-SM-5N9BM
RES00002626	SAMN02792600	GTEX-1192X-3126-SM-5N9BY
RES00002638	SAMN02787248	GTEX-1192X-3226-SM-5987D
RES00002639	SAMN02791764	GTEX-11DXW-0006-SM-5NQ7Y
RES00002640	SAMN02787565	GTEX-11DXW-0008-SM-5Q59V
RES00002642	SAMN11826533	GTEX-11DXW-0011-R1a-SM-DNZZD
RES00002643	SAMN11830129	GTEX-11DXW-0011-R3b-SM-DNZZE
RES00002644	SAMN11824525	GTEX-11DXW-0011-R5b-SM-DO11D
RES00002645	SAMN11823780	GTEX-11DXW-0011-R6a-SM-DO11N
RES00002646	SAMN11826319	GTEX-11DXW-0011-R7b-SM-DO119
RES00002647	SAMN02790299	GTEX-11DXW-0226-SM-5H122
RES00002648	SAMN02789231	GTEX-11DXW-0326-SM-5H11W
RES00002649	SAMN02792922	GTEX-11DXW-0426-SM-5H12E
RES00002650	SAMN02792495	GTEX-11DXW-0526-SM-5H127
RES00002651	SAMN02791461	GTEX-11DXW-0626-SM-5N9ER
RES00002652	SAMN02793082	GTEX-11DXW-0726-SM-5H12J
RES00002653	SAMN02792516	GTEX-11DXW-0826-SM-5H118
RES00002654	SAMN02791769	GTEX-11DXW-1026-SM-5H11K
RES00002655	SAMN02787979	GTEX-11DXW-1126-SM-5H12Q
RES00002656	SAMN02789924	GTEX-11DXW-1226-SM-5H133
RES00002522	SAMN02788476	GTEX-11DXX-0005-SM-5NQ8B
RES00002591	SAMN02791114	GTEX-11DXX-0008-SM-5Q5B8
RES00002594	SAMN02788728	GTEX-11DXX-0126-SM-5EGH7
RES00002593	SAMN02790117	GTEX-11DXX-0226-SM-5P9HL
RES00002597	SAMN02787892	GTEX-11DXX-0326-SM-5PNWC
RES00002598	SAMN02791459	GTEX-11DXX-0426-SM-5EQ5F
RES00002528	SAMN02791763	GTEX-11DXX-0526-SM-5PNVR
RES00002592	SAMN02793106	GTEX-11DXX-0626-SM-5Q5AG
RES00002595	SAMN02792289	GTEX-11DXX-0726-SM-5H12X
RES00002527	SAMN02790170	GTEX-11DXX-0826-SM-5GZZP
RES00002596	SAMN02791407	GTEX-11DXX-0926-SM-5H112
RES00002602	SAMN02790045	GTEX-11DXX-1026-SM-5H11E
RES00002603	SAMN02790084	GTEX-11DXX-1126-SM-5GZZK
RES00002604	SAMN02790432	GTEX-11DXX-1226-SM-5GICD
RES00002605	SAMN02789744	GTEX-11DXX-1326-SM-5GIDZ
RES00002530	SAMN02788812	GTEX-11DXX-1426-SM-5GIDU
RES00002531	SAMN02791741	GTEX-11DXX-1526-SM-5H115
RES00002599	SAMN02788716	GTEX-11DXX-1626-SM-5H11H
RES00002532	SAMN02787645	GTEX-11DXX-1726-SM-5H11T
RES00002601	SAMN02787628	GTEX-11DXX-1826-SM-5H126
RES00002600	SAMN02787532	GTEX-11DXX-1926-SM-5EGJK
RES00002529	SAMN02791957	GTEX-11DXX-2026-SM-5EGJL
RES00002534	SAMN02787923	GTEX-11DXX-2126-SM-5PNYR
RES00002524	SAMN11825535	GTEX-11DXX-2326-SM-9YFKS
RES00002606	SAMN02791603	GTEX-11DXX-2426-SM-5GZZW
RES00002657	SAMN02793660	GTEX-11DXX-2526-SM-5H119
RES00002526	SAMN02793661	GTEX-11DXX-2626-SM-5Q5A3
RES00002525	SAMN02788725	GTEX-11DXX-2726-SM-5PNXO
RES00002558	SAMN02789707	GTEX-11DXY-0006-SM-5NQ8N
RES00002577	SAMN02789648	GTEX-11DXY-0008-SM-5QGR4
RES00002559	SAMN11825211	GTEX-11DXY-0011-R10b-SM-DO12C
RES00002658	SAMN11826772	GTEX-11DXY-0011-R11a-SM-DNZZN
RES00002659	SAMN11825982	GTEX-11DXY-0011-R5b-SM-DNZZL
RES00002660	SAMN11826484	GTEX-11DXY-0011-R6a-SM-DNZZF
RES00002661	SAMN11829724	GTEX-11DXY-0011-R7a-SM-DO11L
RES00002662	SAMN11827399	GTEX-11DXY-0011-R8a-SM-DO11M
RES00002572	SAMN02787615	GTEX-11DXY-0126-SM-5H11Q
RES00002570	SAMN02791745	GTEX-11DXY-0226-SM-5H123
RES00002586	SAMN02791677	GTEX-11DXY-0326-SM-5H12F
RES00002567	SAMN02789133	GTEX-11DXY-0426-SM-5H12R
RES00002663	SAMN02791909	GTEX-11DXY-0526-SM-5EGGQ
RES00002566	SAMN02789681	GTEX-11DXY-0826-SM-5EGGR
RES00002565	SAMN02792856	GTEX-11DXY-1026-SM-5987V
RES00002664	SAMN02790658	GTEX-11DXY-1126-SM-5987W
RES00002581	SAMN02790682	GTEX-11DXY-1326-SM-5987Z
RES00002582	SAMN02790588	GTEX-11DXY-1426-SM-5N9CN
RES00002583	SAMN02788949	GTEX-11DXY-1526-SM-5H129
RES00002579	SAMN02793213	GTEX-11DXY-1626-SM-5H12L
RES00002588	SAMN02792900	GTEX-11DXY-2026-SM-5N9CZ
