RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00001736	SAMD00005479	11791-124B9
RES00001736	SAMD00005773	11913-125G5
RES00001736	SAMD00005705	11917-125G9
RES00001737	SAMD00004701	11784-124B2
RES00001737	SAMD00005585	11795-124C4
RES00001737	SAMD00005907	11906-125F7
RES00001738	SAMD00004924	11792-124C1
RES00001738	SAMD00003166	11914-125G6
RES00001738	SAMD00003164	11918-125H1
RES00001739	SAMD00005369	11786-124B4
RES00001739	SAMD00004816	11798-124C7
RES00001739	SAMD00004886	11909-125G1
RES00001740	SAMD00004693	12186-129A8
RES00001740	SAMD00005892	12191-129B4
RES00001740	SAMD00004770	12196-129B9
RES00001740	SAMD00005124	12148-128F6
RES00001740	SAMD00005774	12171-128I2
RES00001740	SAMD00004860	12201-129C5
RES00001740	SAMD00005312	12206-129D1
RES00001740	SAMD00005322	12211-129D6
RES00001741	SAMD00005373	11226-116C2
RES00001741	SAMD00005210	11307-117C2
RES00001741	SAMD00006002	11383-118B6
RES00001742	SAMD00022169	13553-145I7
RES00001742	SAMD00022170	13554-145I8
RES00001742	SAMD00022171	13555-145I9
RES00001743	SAMD00022172	13556-146A1
RES00001743	SAMD00022173	13557-146A2
RES00001743	SAMD00022174	13558-146A3
RES00001744	SAMD00022175	13559-146A4
RES00001744	SAMD00022176	13560-146A5
RES00001744	SAMD00022177	13561-146A6
RES00001745	SAMD00022178	13562-146A7
RES00001745	SAMD00022179	13563-146A8
RES00001745	SAMD00022180	13564-146A9
RES00001746	SAMD00022181	13565-146B1
RES00001746	SAMD00022182	13566-146B2
RES00001746	SAMD00022183	13567-146B3
RES00001747	SAMD00022184	13568-146B4
RES00001747	SAMD00022185	13569-146B5
RES00001747	SAMD00022186	13570-146B6
RES00001748	SAMD00022187	13571-146B7
RES00001748	SAMD00022188	13572-146B8
RES00001748	SAMD00022189	13573-146B9
RES00001749	SAMD00022190	13574-146C1
RES00001749	SAMD00022191	13575-146C2
RES00001749	SAMD00022192	13576-146C3
RES00001750	SAMD00022193	13577-146C4
RES00001750	SAMD00022194	13578-146C5
RES00001750	SAMD00022195	13579-146C6
RES00001751	SAMD00005232	11525-119I4
RES00001751	SAMD00004909	11605-120I3
RES00001751	SAMD00005296	11686-122I3
RES00001752	SAMD00005775	11261-116G1
RES00001752	SAMD00005924	11338-117F6
RES00001752	SAMD00005966	11410-118E6
RES00001753	SAMD00005779	11339-117F7
RES00001753	SAMD00004970	11411-118E7
RES00001754	SAMD00005104	11242-116D9
RES00001754	SAMD00005764	11323-117D9
RES00001754	SAMD00005448	11399-118D4
RES00001755	SAMD00005752	10000-101A1
RES00001756	SAMD00004967	11526-119I5
RES00001756	SAMD00005451	11606-120I4
RES00001756	SAMD00005608	11687-122I4
RES00001757	SAMD00004823	11227-116C3
RES00001757	SAMD00004823	11227-116C3
RES00001757	SAMD00004688	11308-117C3
RES00001757	SAMD00006016	11384-118B7
RES00001758	SAMD00004835	11228-116C4
RES00001758	SAMD00004698	11309-117C4
RES00001758	SAMD00005406	11385-118B8
RES00001759	SAMD00005519	11207-116A1
RES00001759	SAMD00005941	11263-116G3
RES00001759	SAMD00004981	11340-117F8
RES00001759	SAMD00004830	11412-118E8
RES00001760	SAMD00005974	11264-116G4
RES00001760	SAMD00004960	11341-117F9
RES00001760	SAMD00005046	11413-118E9
RES00001761	SAMD00005778	11236-116D3
RES00001761	SAMD00005386	11317-117D3
RES00001761	SAMD00005940	11393-118C7
RES00001762	SAMD00005300	11265-116G5
RES00001762	SAMD00005962	11342-117G1
RES00001762	SAMD00005909	11414-118F1
RES00001763	SAMD00005486	11266-116G6
RES00001763	SAMD00004966	11343-117G2
RES00001764	SAMD00004928	11243-116E1
RES00001764	SAMD00004959	11324-117E1
RES00001764	SAMD00005667	11400-118D5
RES00001765	SAMD00004785	11267-116G7
RES00001765	SAMD00004806	11344-117G3
RES00001765	SAMD00005126	11416-118F3
RES00001766	SAMD00005571	12244-129H3
RES00001766	SAMD00005123	12245-129H4
RES00001766	SAMD00005271	12246-129H5
RES00001767	SAMD00005295	11507-119G4
RES00001767	SAMD00005886	11587-120G3
RES00001767	SAMD00004852	11668-122G3
RES00001768	SAMD00004930	10705-109H3
RES00001769	SAMD00022305	14331-155F2
RES00001769	SAMD00022301	14310-155C8
RES00001770	SAMD00005860	11245-116E3
RES00001771	SAMD00005544	14332-155F3
RES00001770	SAMD00005194	11326-117E3
RES00001771	SAMD00005828	14311-155C9
RES00001770	SAMD00005894	11401-118D6
RES00001772	SAMD00005836	11268-116G8
RES00001772	SAMD00005873	11345-117G4
RES00001772	SAMD00005613	11417-118F4
RES00001772	SAMD00005682	11452-119A3
RES00001772	SAMD00005027	11456-119A7
RES00001772	SAMD00005402	11460-119B2
RES00001773	SAMD00004719	11492-119E7
RES00001773	SAMD00004736	11572-120E6
RES00001773	SAMD00005776	11653-122E6
RES00001774	SAMD00005510	11531-120A1
RES00001774	SAMD00005290	11692-122I9
RES00001775	SAMD00004983	11269-116G9
RES00001775	SAMD00005260	11346-117G5
RES00001775	SAMD00004749	11418-118F5
RES00001775	SAMD00005148	11450-119A1
RES00001775	SAMD00005417	11454-119A5
RES00001775	SAMD00005619	11458-119A9
RES00001776	SAMD00005461	11237-116D4
RES00001777	SAMD00021210	11928-125I2
RES00001776	SAMD00005390	11318-117D4
RES00001776	SAMD00005363	11394-118C8
RES00001778	SAMD00004784	11222-116B7
RES00001779	SAMD00004968	11303-117B7
RES00001780	SAMD00021203	11921-125H4
RES00001776	SAMD00021204	11922-125H5
RES00001780	SAMD00021205	11923-125H6
RES00001776	SAMD00021206	11924-125H7
RES00001781	SAMD00021207	11925-125H8
RES00001776	SAMD00021208	11926-125H9
RES00001776	SAMD00021209	11927-125I1
RES00001782	SAMD00004854	11270-116H1
RES00001782	SAMD00005365	11347-117G6
RES00001782	SAMD00005677	11419-118F6
RES00001783	SAMD00004725	11506-119G3
RES00001783	SAMD00004993	11586-120G2
RES00001783	SAMD00004947	11667-122G2
RES00001784	SAMD00004849	11540-120B1
RES00001784	SAMD00004716	11620-122A9
RES00001784	SAMD00005624	11701-123A9
RES00001785	SAMD00005091	11238-116D5
RES00001785	SAMD00005857	11319-117D5
RES00001785	SAMD00005345	11395-118C9
RES00001785	SAMD00004778	11223-116B8
RES00001785	SAMD00005996	11304-117B8
RES00001785	SAMD00005628	11380-118B3
RES00001786	SAMD00005559	11250-116E8
RES00001787	SAMD00005534	11535-120A5
RES00001787	SAMD00005956	11615-122A4
RES00001787	SAMD00005600	11696-123A4
RES00001788	SAMD00005754	14329-155E9
RES00001789	SAMD00005292	11556-120C8
RES00001789	SAMD00005436	11557-120C9
RES00001788	SAMD00005248	14308-155C6
RES00001789	SAMD00005411	11560-120D3
RES00001790	SAMD00005302	14323-155E3
RES00001791	SAMD00004775	11553-120C5
RES00001790	SAMD00005582	14302-155B9
RES00001791	SAMD00004977	11561-120D4
RES00001792	SAMD00005054	14326-155E6
RES00001793	SAMD00005869	11555-120C7
RES00001793	SAMD00005679	11558-120D1
RES00001792	SAMD00005618	14305-155C3
RES00001793	SAMD00005567	11559-120D2
RES00001794	SAMD00005209	11554-120C6
RES00001795	SAMD00022304	14322-155E2
RES00001795	SAMD00022300	14301-155B8
RES00001796	SAMD00005898	10301-104H4
RES00001797	SAMD00005665	11221-116B6
RES00001797	SAMD00005050	11302-117B6
RES00001797	SAMD00004702	11379-118B2
RES00001798	SAMD00022139	13523-145F4
RES00001798	SAMD00022140	13524-145F5
RES00001798	SAMD00022141	13525-145F6
RES00001799	SAMD00022142	13526-145F7
RES00001799	SAMD00022143	13527-145F8
RES00001799	SAMD00022144	13528-145F9
RES00001800	SAMD00022145	13529-145G1
RES00001800	SAMD00022146	13530-145G2
RES00001800	SAMD00022147	13531-145G3
RES00001801	SAMD00004802	12627-134E8
RES00001801	SAMD00005615	12725-135G7
RES00001801	SAMD00005541	12823-136I6
RES00001802	SAMD00021391	12628-134E9
RES00001802	SAMD00021467	12726-135G8
RES00001802	SAMD00021542	12824-136I7
RES00001803	SAMD00021392	12629-134F1
RES00001803	SAMD00021468	12727-135G9
RES00001803	SAMD00021543	12825-136I8
RES00001804	SAMD00021393	12630-134F2
RES00001804	SAMD00021469	12728-135H1
RES00001804	SAMD00021544	12826-136I9
RES00001805	SAMD00021394	12631-134F3
RES00001805	SAMD00021470	12729-135H2
